claim_id,status,evidence_grade,scope,claim,primary_source,excluded_inference
C01,SUPPORTED,OBSERVED_CROSS_CHECKED,curated_50_file_tflite_benchmark,62 of 114 external parameters carried complete affine contracts.,data/interface-contracts.json;data/litert-interface-crosscheck.json,No TFLite ecosystem prevalence estimate.
C02,SUPPORTED,DERIVED_STATIC,curated_50_file_tflite_benchmark,Six multi-artifact direction/dtype/shape groups contained multiple affine contracts.,data/interface-summary.json,No deployed harness mismatch prevalence estimate.
C03,SUPPORTED,CONTROLLED_PAIRED_EXPERIMENT,three_models_and_1000_selected_imagenetv2_images,Two of six substitutions remained significant after Holm correction; both clipped at least 31.9% of encoded input elements.,experiments/imagenetv2-all-pairs/measurement.json,No claim that every mismatch reduces accuracy.
C04,SUPPORTED,OBSERVED_CROSS_CHECKED,curated_50_file_tflite_benchmark,20 artifacts contained parseable TFLITE_METADATA; all were in the MediaPipe subcohort.,data/tflite-metadata-audit.json;data/tflite-metadata-flatc-crosscheck.json,No claim that metadata describes the complete preprocessing pipeline.
C05,SUPPORTED,TARGETED_FORMAT_PILOT,15_file_onnx_pilot,"All 39 external ONNX parameters in the pilot were not quantized, although 10 artifacts contained internal quantization patterns.",data/onnx-pilot-results.json,No ONNX ecosystem prevalence estimate.
C06,SUPPORTED,OBSERVED_REVISION_PAIR,one_same_repository_same_path_onnx_revision_pair,Four external parameters changed dtype while 131 serialized initializers remained byte-identical.,data/onnx-revision-comparison.json,Not an affine revision and no converter causality claim.
C07,SUPPORTED,OBSERVED_STABLE_COHORT_CROSS_CHECKED,kaggle_model_id_700000_724999_registry_cohort,"The frozen cohort contained 1966 models and 1985 variations. Three variations were declared as TF Lite; two enumerable variations yielded 9 assessed TFLite files, one with a complete integer-affine external interface and none with parseable TFLITE_METADATA.",data/kaggle-tflite-frame-stability.json;data/kaggle-tflite-audit.json;data/kaggle-litert-interface-crosscheck.json;data/kaggle-tflite-metadata-marker-crosscheck.json,No Kaggle-wide prevalence estimate; one declared TF Lite variation was not publicly enumerable.
C08,NOT_ASSESSED,NOT_ASSESSABLE,deployed_systems,Prevalence of application/model affine-contract mismatches.,docs/paper-claim-boundary.md,Requires independently observed harness contracts.
C09,NOT_ASSESSED,NOT_ASSESSABLE,kaggle_wide_or_global_tflite_ecosystem,Kaggle-wide or global prevalence of integer interfaces or missing preprocessing metadata.,docs/paper-claim-boundary.md,"The completed run is an identifier-bounded registry cohort, not a probability sample of the full ecosystem."
C10,SUPPORTED,OBSERVED_REVISION_PAIR_CROSS_CHECKED,one_same_variation_same_path_tflite_revision_pair,"In the only assessable same-path adjacent-version TFLite pair, the artifact hash and 106 of 107 shared serialized initializers changed while the external dtype, shape, scale, and zero-point contract remained unchanged. 8 other adjacent-version path events were additions or removals.",data/kaggle-tflite-history-stability.json;data/kaggle-tflite-revision-pairs.json;data/kaggle-tflite-audit-all-versions.json;data/kaggle-tflite-revision-comparison.json;data/kaggle-litert-interface-crosscheck-all-versions.json,No affine revision was observed; no converter causality or revision-frequency inference from one same-path pair.
